,aqi,batt,co2,created_at,entry_id,humidity,pm1,pm10,pm25,temp,airbenderaqi
0,147,,0.0,2018-10-08 00:00:00,,,,171.0,73.0,,147.33333333333334
1,152,,0.0,2018-10-08 00:30:00,,,,177.0,76.0,,153.33333333333334
2,169,,0.0,2018-10-08 01:00:00,,,,186.0,81.0,,170.0
3,165,,0.0,2018-10-08 01:30:00,,,,191.0,80.0,,166.66666666666669
4,165,,0.0,2018-10-08 02:00:00,,,,186.0,80.0,,166.66666666666669
5,165,,0.0,2018-10-08 02:30:00,,,,187.0,80.0,,166.66666666666669
6,176,,0.0,2018-10-08 03:00:00,,,,194.0,83.0,,176.66666666666669
7,176,,0.0,2018-10-08 03:30:00,,,,194.0,83.0,,176.66666666666669
8,169,,0.0,2018-10-08 04:00:00,,,,174.0,81.0,,170.0
9,169,,0.0,2018-10-08 04:30:00,,,,177.0,81.0,,170.0
10,172,,0.0,2018-10-08 05:00:00,,,,175.0,82.0,,173.33333333333331
11,193,,0.0,2018-10-08 05:30:00,,,,200.0,88.0,,193.33333333333331
12,204,,0.0,2018-10-08 06:00:00,,,,199.0,92.0,,206.0
13,282,,0.0,2018-10-08 06:30:00,,,,249.0,115.0,,275.0
14,316,,0.0,2018-10-08 07:00:00,,,,265.0,141.0,,300.0
15,321,,0.0,2018-10-08 07:30:00,,,,264.0,148.0,,300.0
16,314,,0.0,2018-10-08 08:00:00,,,,258.0,139.0,,300.0
17,419,,0.0,2018-10-08 08:30:00,,,,726.0,178.0,,696.0
18,323,,0.0,2018-10-08 09:00:00,,,,329.0,150.0,,300.0
19,315,,0.0,2018-10-08 09:30:00,,,,279.0,140.0,,300.0
20,306,,0.0,2018-10-08 10:00:00,,,,261.0,128.0,,300.0
21,304,,0.0,2018-10-08 10:30:00,,,,258.0,126.0,,300.0
22,322,,0.0,2018-10-08 11:00:00,,,,233.0,149.0,,300.0
23,324,,0.0,2018-10-08 11:30:00,,,,225.0,151.0,,300.0
