created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2017-11-21 04:26:38 UTC,1622,22.40,33.50,364.4,424.4,526.6,"","","3856

OK
"
2017-11-21 04:27:37 UTC,1623,22.40,33.50,378.8,452.2,484.4,"","","3966

OK
"
2017-11-21 04:28:37 UTC,1624,22.30,33.50,392.2, 500, 530,"","","3961

OK
"
2017-11-21 04:29:38 UTC,1625,22.30,33.50,358.8,422.2,512.2,"","","3955

OK
"
2017-11-21 04:30:38 UTC,1626,22.30,33.50,358.8, 420, 420,"","","3961

OK
"
2017-11-21 04:31:38 UTC,1627,22.30,33.50,408.8,526.6,564.4,"","","3966

OK
"
2017-11-21 04:32:38 UTC,1628,22.40,33.50,374.4,462.2,556.6,"","","3961

OK
"
2017-11-21 04:33:38 UTC,1629,22.40,33.50,322.2, 380,392.2,"","","3873

OK
"
2017-11-21 04:34:38 UTC,1630,22.40,33.50,406.6,484.4,602.2,"","","3950

OK
"
2017-11-21 04:35:38 UTC,1631,22.40,33.50,386.6, 510,562.2,"","","3966

OK
"
2017-11-21 04:36:38 UTC,1632,22.40,33.60,362.2,452.2,532.2,"","","3955

OK
"
2017-11-21 04:37:38 UTC,1633,22.40,33.60,386.6,466.6,552.2,"","","3961

OK
"
2017-11-21 04:38:38 UTC,1634,22.40,33.60,334.4,388.8,478.8,"","","3955

OK
"
2017-11-21 04:39:38 UTC,1635,22.40,33.60,418.8,506.6,624.4,"","","3939

OK
"
2017-11-21 04:40:38 UTC,1636,22.40,33.60, 390,446.6,476.6,"","","3955

OK
"
2017-11-21 04:41:38 UTC,1637,22.40,33.60,424.4, 540,694.4,"","","3955

OK
"
2017-11-21 04:42:38 UTC,1638,22.40,33.50,406.6,544.4,628.8,"","","3950

OK
"
2017-11-21 04:43:38 UTC,1639,22.50,33.50,406.6,502.2,578.8,"","","3950

OK
"
2017-11-21 04:44:38 UTC,1640,22.50,33.50,378.8,472.2,544.4,"","","3961

OK
"
2017-11-21 04:45:39 UTC,1641,22.50,33.40,414.4, 510,622.2,"","","3950

OK
"
2017-11-21 04:46:39 UTC,1642,22.50,33.30,382.2, 430,482.2,"","","3961

OK
"
2017-11-21 04:47:39 UTC,1643,22.50,33.30,392.2,474.4,606.6,"","","3955

OK
"
2017-11-21 04:48:39 UTC,1644,22.40,33.30,372.2,478.8,622.2,"","","3955

OK
"
2017-11-21 04:49:39 UTC,1645,22.50,33.20,366.6,424.4,582.2,"","","3939

OK
"
2017-11-21 04:50:39 UTC,1646,22.50,33.20,332.2,404.4,562.2,"","","3955

OK
"
2017-11-21 04:51:39 UTC,1647,22.40,33.20,422.2,528.8, 590,"","","3955

OK
"
2017-11-21 04:52:39 UTC,1648,22.50,33.30,398.8,478.8,596.6,"","","3955

OK
"
2017-11-21 04:53:39 UTC,1649,22.50,33.30,372.2,458.8,564.4,"","","3955

OK
"
2017-11-21 04:54:39 UTC,1650,22.50,33.30, 380,436.6,458.8,"","","3862

OK
"
2017-11-21 04:55:39 UTC,1651,22.50,33.30,394.4,442.2,456.6,"","","3950

OK
"
2017-11-21 04:56:39 UTC,1652,22.50,33.30,424.4,548.8,638.8,"","","3950

OK
"
2017-11-21 04:57:39 UTC,1653,22.60,33.30,352.2,518.8,622.2,"","","3950

OK
"
2017-11-21 04:58:39 UTC,1654,22.60,33.30, 390, 520, 640,"","","3955

OK
"
2017-11-21 04:59:39 UTC,1655,22.60,33.30,342.2,434.4,474.4,"","","3944

OK
"
2017-11-21 05:00:39 UTC,1656,22.60,33.40,364.4,466.6, 480,"","","3944

OK
"
2017-11-21 05:01:39 UTC,1657,22.60,33.40,424.4,538.8,612.2,"","","3950

OK
"
2017-11-21 05:02:40 UTC,1658,22.60,33.50,364.4,424.4,424.4,"","","3944

OK
"
2017-11-21 05:03:40 UTC,1659,22.50,33.50,372.2, 450,622.2,"","","3950

OK
"
2017-11-21 05:04:40 UTC,1660,22.60,33.50,392.2, 430, 460,"","","3944

OK
"
2017-11-21 05:05:41 UTC,1661,22.60,33.50,366.6, 450,462.2,"","","3873

OK
"
2017-11-21 05:06:40 UTC,1662,22.60,33.60,368.8,442.2, 490,"","","3950

OK
"
2017-11-21 05:07:40 UTC,1663,22.60,33.60,378.8,466.6,506.6,"","","3851

OK
"
2017-11-21 05:08:40 UTC,1664,22.70,33.60,392.2,488.8,498.8,"","","3944

OK
"
2017-11-21 05:09:40 UTC,1665,22.70,33.60,364.4,472.2, 560,"","","3944

OK
"
2017-11-21 05:10:40 UTC,1666,22.70,33.60,328.8,404.4,404.4,"","","3950

OK
"
2017-11-21 05:11:40 UTC,1667,22.70,33.50,328.8, 400, 510,"","","3944

OK
"
2017-11-21 05:12:40 UTC,1668,22.70,33.50,338.8,468.8,498.8,"","","3851

OK
"
2017-11-21 05:13:40 UTC,1669,22.70,33.30,346.6, 460, 530,"","","3944

OK
"
2017-11-21 05:14:40 UTC,1670,22.80,33.20,336.6,402.2,442.2,"","","3944

OK
"
