created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2017-11-03 14:14:13 UTC,1073,27.20,59.10,262.2,418.8,464.4,88.386047,22.503399,3933
2017-11-03 14:15:46 UTC,1074,27.10,59.50, 290, 390,462.2,88.386047,22.503399,3928
2017-11-03 14:18:50 UTC,1075,27.10,60.30,222.2,324.4, 410,"","",3922
2017-11-03 14:21:56 UTC,1076,27.00,60.90,184.4,264.4, 310,"","",3900
2017-11-03 14:24:56 UTC,1077,26.90,61.30,192.2,316.6,366.6,88.386047,22.503399,3922
2017-11-03 14:26:27 UTC,1078,26.90,61.40,174.4, 240,252.2,"","",3928
2017-11-03 14:28:00 UTC,1079,26.90,61.40,276.6,388.8,434.4,"","",3922
2017-11-03 14:31:03 UTC,1080,26.80,61.60,244.4,352.2,434.4,"","",3922
2017-11-03 14:34:03 UTC,1081,26.80,61.80,228.8,284.4,344.4,"","",3917
2017-11-03 14:35:36 UTC,1082,26.80,61.80, 230,354.4, 510,88.386047,22.503399,3922
2017-11-03 14:38:38 UTC,1083,26.80,62.20, 180,236.6,284.4,"","",3922
2017-11-03 14:41:42 UTC,1084,26.80,62.30,192.2,294.4,358.8,"","",3922
2017-11-03 14:43:15 UTC,1085,26.70,62.40,214.4,276.6,388.8,"","",3873
2017-11-03 14:44:44 UTC,1086,26.70,62.60,252.2,378.8,432.2,"","",3917
2017-11-03 14:46:17 UTC,1087,26.70,62.70,226.6, 300,384.4,"","",3917
2017-11-03 14:47:49 UTC,1088,26.60,62.80,188.8,272.2,306.6,"","",3917
2017-11-03 14:49:21 UTC,1089,26.70,63.10,212.2,288.8,312.2,88.386047,22.503399,3862
2017-11-03 14:50:51 UTC,1090,26.90,63.10,186.6,252.2,304.4,"","",3911
2017-11-03 14:52:22 UTC,1091,27.00,62.90,216.6, 270,294.4,"","",3911
2017-11-03 14:53:54 UTC,1092,27.20,62.70,248.8,392.2,466.6,"","",3906
2017-11-03 14:55:30 UTC,1093,27.20,62.20,244.4,362.2,464.4,88.386047,22.503399,3917
2017-11-03 14:56:58 UTC,1094,27.30,61.80,194.4,294.4,332.2,"","",3917
2017-11-03 14:58:32 UTC,1095,27.40,61.40,278.8,396.6,482.2,"","",3911
2017-11-03 15:00:04 UTC,1096,27.50,60.90,296.6,432.2, 500,"","",3906
2017-11-03 15:01:35 UTC,1097,27.60,60.70,256.6,392.2,506.6,"","",3906
2017-11-03 15:04:37 UTC,1098,27.70,60.40, 330,532.2,564.4,"","",3906
2017-11-03 15:06:08 UTC,1099,27.70,60.30, 230,314.4,334.4,"","",3906
2017-11-03 15:09:14 UTC,1100,27.80,60.10,434.4,682.2,806.6,"","",3906
2017-11-03 15:10:47 UTC,1101,27.80,60.00,348.8, 480, 560,88.386047,22.503399,3900
2017-11-03 15:12:18 UTC,1102,27.80,59.80,312.2,484.4,608.8,"","",3900
2017-11-03 15:13:57 UTC,1103,27.80,59.80,332.2,468.8,548.8,"","",3807
2017-11-03 15:15:22 UTC,1104,27.80,59.80,272.2,362.2,454.4,"","",3906
2017-11-03 15:18:25 UTC,1105,27.80,59.70,198.8,274.4,342.2,"","",3900
2017-11-03 15:21:34 UTC,1106,27.90,59.60, 240, 320,358.8,"","",3895
2017-11-03 15:26:04 UTC,1107,27.90,59.50,224.4,322.2,354.4,"","",3895
2017-11-03 15:33:48 UTC,1108,27.90,59.60,224.4,312.2,324.4,"","",3884
2017-11-03 15:41:29 UTC,1109,28.00,59.90,144.4,202.2,214.4,88.386047,22.503399,3884
2017-11-03 15:43:07 UTC,1110,28.10,60.20,176.6,246.6,312.2,"","",3807
2017-11-03 15:49:13 UTC,1111,28.20,60.10,182.2,212.2,264.4,"","",3862
2017-11-03 15:58:22 UTC,1112,28.30,59.70,158.8,208.8,256.6,"","",3878
2017-11-03 16:03:01 UTC,1113,28.40,60.10, 170,246.6,252.2,"","",3873
2017-11-03 16:19:48 UTC,1114,28.70,60.40, 150,238.8, 290,"","",3708
2017-11-03 16:22:48 UTC,1115,28.70,60.30, 180,242.2,266.6,"","",3867
2017-11-03 16:41:26 UTC,1116,28.50,59.80, 170,202.2, 210,"","
 CIPGSMLOC: 0",3856
2017-11-03 16:42:52 UTC,1117,28.50,59.80,164.4,262.2,314.4,"","",3856
2017-11-03 16:55:08 UTC,1118,28.40,59.40,144.4,214.4, 310,"","",3851
2017-11-03 16:58:16 UTC,1119,28.40,59.40,154.4, 220,272.2,88.386047,22.503399,3846
2017-11-03 17:01:19 UTC,1120,28.50,59.60,126.6, 180, 180,"","",3851
2017-11-03 17:04:22 UTC,1121,28.40,59.60, 150,188.8, 210,88.386047,22.503399,3840
2017-11-03 17:05:54 UTC,1122,28.30,59.60, 150,182.2,234.4,88.386047,22.503399,3807
2017-11-03 17:07:30 UTC,1123,28.30,59.60,144.4,196.6, 220,"","",3846
2017-11-03 17:09:00 UTC,1124,28.30,59.50,156.6,202.2,294.4,"","",3846
2017-11-03 17:10:30 UTC,1125,28.30,59.70,126.6,184.4, 190,"","",3840
2017-11-03 17:12:05 UTC,1126,28.30,59.70,128.8,178.8,188.8,88.386047,22.503399,3747
2017-11-03 17:13:37 UTC,1127,28.30,59.80,168.8,236.6,244.4,"","",3840
2017-11-03 17:18:12 UTC,1128,28.30,60.00, 140, 190, 190,88.386047,22.503399,3796
2017-11-03 17:19:40 UTC,1129,28.30,60.00,184.4,232.2, 270,88.386047,22.503399,3840
2017-11-03 17:21:14 UTC,1130,28.30,60.10,166.6,236.6,236.6,"","",3840
2017-11-03 17:22:46 UTC,1131,28.30,60.10, 140,188.8,214.4,88.386047,22.503399,3840
2017-11-03 17:24:12 UTC,1132,28.30,60.10,156.6,202.2,202.2,88.386047,22.503399,3835
2017-11-03 17:25:46 UTC,1133,28.20,60.20, 120,178.8,194.4,88.386047,22.503399,3840
2017-11-03 17:27:17 UTC,1134,28.30,60.30,146.6,198.8,234.4,"","",3774
2017-11-03 17:28:50 UTC,1135,28.20,60.40,152.2,198.8,238.8,"","",3807
2017-11-03 17:30:20 UTC,1136,28.20,60.50,136.6,224.4,278.8,"","",3829
2017-11-03 17:31:54 UTC,1137,28.20,60.70,166.6, 210,242.2,88.386047,22.503399,3835
2017-11-03 17:33:23 UTC,1138,28.20,60.60,158.8,218.8,266.6,"","",3730
2017-11-03 17:34:56 UTC,1139,28.20,60.70,178.8,248.8,304.4,88.386047,22.503399,3835
2017-11-03 17:36:28 UTC,1140,28.20,60.60,164.4,254.4,254.4,"","",3835
2017-11-03 17:38:00 UTC,1141,28.30,60.60,184.4,262.2,288.8,88.386047,22.503399,3829
2017-11-03 17:39:33 UTC,1142,28.30,60.60, 150,222.2,246.6,88.386047,22.503399,3835
2017-11-03 17:41:09 UTC,1143,28.30,60.50,126.6,206.6, 250,"","",3829
2017-11-03 17:42:39 UTC,1144,28.30,60.50, 170, 220, 240,88.386047,22.503399,3835
2017-11-03 17:44:10 UTC,1145,28.30,60.40,124.4,168.8, 180,"","",3829
2017-11-03 17:45:45 UTC,1146,28.20,60.30,168.8,218.8,256.6,88.386047,22.503399,3829
2017-11-03 17:47:16 UTC,1147,28.30,60.20,108.8,168.8,174.4,"","",3829
2017-11-03 17:48:44 UTC,1148,28.40,60.00,118.8, 180, 230,"","",3824
2017-11-03 17:50:16 UTC,1149,28.40,59.70, 120,154.4, 160,"","",3824
2017-11-03 17:51:47 UTC,1150,28.40,59.40,134.4, 160, 160,"","",3829
2017-11-03 17:53:19 UTC,1151,28.40,59.10,136.6, 180, 210,"","",3824
2017-11-03 17:54:50 UTC,1152,28.40,58.90,118.8, 190,226.6,"","",3824
2017-11-03 17:57:52 UTC,1153,28.30,58.40,132.2,174.4,174.4,"","",3824
2017-11-03 17:59:23 UTC,1154,28.30,58.50,122.2,172.2,224.4,"","",3818
2017-11-03 18:00:56 UTC,1155,28.30,58.60,122.2,168.8,216.6,88.386047,22.503399,3824
